Common Name,Detections,% Visited,Per Cam.-Day
Killdeer,16,10.81%,0.047
American Crow,17,37.84%,0.05
Western Meadowlark,20,29.73%,0.059
Burrowing Owl,16,10.81%,0.047
Canada Goose,10,8.11%,0.029
Song Sparrow,7,16.22%,0.021
Common Starling,3,5.41%,0.009
American Pipit,6,8.11%,0.018
Western Bluebird,2,2.70%,0.006
Hermit Thrush,3,2.70%,0.009
Say's Phoebe,3,5.41%,0.009
House Sparrow,1,2.70%,0.003
Wren,3,5.41%,0.009
Great Horned Owl,2,2.70%,0.006
Lark Sparrow,1,2.70%,0.003
California Towhee,1,2.70%,0.003
Cooper's Hawk,1,2.70%,0.003
